city,name,price,area,address,distinct
almaty,2-комнатная квартира,130 000 〒,60 м²,Сатпаева,Бостандыкский р-н
almaty,2-комнатная квартира,270 000 〒,62 м²,Самал-1 29,null
almaty,3-комнатная квартира,380 000 〒,180 м²,Луганского — Сатпаева,Медеуский р-н
almaty,2-комнатная квартира,125 000 〒,42 м²,мкр Аксай-2 11,Ауэзовский р-н
almaty,2-комнатная квартира,190 000 〒,53 м²,мкр Казахфильм,Бостандыкский р-н
almaty,3-комнатная квартира,600 000 〒,110 м² помесячно,Аль-Фараби 5к3А — Козыбаева,Бостандыкский р-н
almaty,3-комнатная квартира,320 000 〒,90 м² помесячно,Аскарова Асанбая 21/20,Бостандыкский р-н
almaty,6-комнатная квартира,1 500 000 〒,330 м² помесячно,Жамакаева 256а — Жамакаева,Медеуский р-н
almaty,1-комнатная квартира,200 000 〒,33 м²,Туркебаева 246,Бостандыкский р-н
almaty,2-комнатная квартира,350 000 〒,60 м²,Наурызбай батыра 111 — Абая,null
almaty,2-комнатная квартира,145 000 〒,62 м² помесячно,проспект Назарбаева 82 — Казбек би,Медеуский р-н
almaty,2-комнатная квартира,320 000 〒,90 м²,Ганди 223 — Назарбаева,Медеуский р-н
almaty,2-комнатная квартира,125 000 〒,45 м²,Аль-Фараби 23 — Шашкина,Медеуский р-н
almaty,3-комнатная квартира,170 000 〒,80 м²,Жибек Жолы 59 — Валиханова,Медеуский р-н
almaty,3-комнатная квартира,250 000 〒,80 м²,Байсеитова 42 — Сатпаева,Бостандыкский р-н
almaty,1-комнатная квартира,160 000 〒,32 м²,проспект Сакена Сейфуллина 412,Медеуский р-н
almaty,2-комнатная квартира,180 000 〒,75 м²,Кенесары 83/5,null
almaty,2-комнатная квартира,320 000 〒,56 м²,Наурызбай батыра 111 — Курмангазы,Алмалинский р-н
almaty,2-комнатная квартира,130 000 〒,45 м²,мкр Коктем-3,Бостандыкский р-н
almaty,1-комнатная квартира,120 000 〒,45 м²,мкр Аксай-5,Ауэзовский р-н
almaty,2-комнатная квартира,450 000 〒,75 м²,проспект Достык 97Б — Снегина,Медеуский р-н
almaty,1-комнатная квартира,200 000 〒,45 м²,мкр Алмагуль,Бостандыкский р-н
almaty,2-комнатная квартира,250 000 〒,60 м²,Курмангазы 168 — проспект Гагарина,Бостандыкский р-н
almaty,1-комнатная квартира,150 000 〒,50 м²,Жандосова 140 — проспект Алтынсарина,Бостандыкский р-н
almaty,1-комнатная квартира,100 000 〒,35 м²,проспект Назарбаева — Аль-фараби,Медеуский р-н
almaty,3-комнатная квартира,140 000 〒,70 м²,Тлендиева 256б — Жандосова,Бостандыкский р-н
almaty,3-комнатная квартира,350 000 〒,90 м²,Зенкова 59 — Кабанбай Батыра,Медеуский р-н
almaty,3-комнатная квартира,400 000 〒,140 м²,мкр Самал-2,Медеуский р-н
almaty,1-комнатная квартира,150 000 〒,41 м²,Абая 17 — Пушкина,Медеуский р-н
almaty,2-комнатная квартира,65 000 〒,22 м²,мкр Карасу,Алатауский р-н
almaty,1-комнатная квартира,85 000 〒,40 м²,мкр Жетысу-2 64,Ауэзовский р-н
almaty,3-комнатная квартира,130 000 〒,65 м²,мкр Жетысу-2 62,Ауэзовский р-н
almaty,3-комнатная квартира,200 000 〒,118 м²,мкр Думан-2 20,Медеуский р-н
almaty,2-комнатная квартира,250 000 〒,50 м²,Достык 114 — Сатпаева,Медеуский р-н
almaty,3-комнатная квартира,300 000 〒,80 м²,Абылай хана 74 — Гоголя,Алмалинский р-н
almaty,2-комнатная квартира,400 000 〒,72 м²,Назарбаева 223 — Ганди,null
almaty,1-комнатная квартира,145 000 〒,55 м²,Розыбакиева,Бостандыкский р-н
almaty,4-комнатная квартира,350 000 〒,135 м²,Каблукова 264 — Малахова,Бостандыкский р-н
almaty,1-комнатная квартира,220 000 〒,50 м²,Кабанбай Батыра 223/161 — Байзакова,Алмалинский р-н
almaty,1-комнатная квартира,90 000 〒,40 м²,Гагарина 12,null
almaty,3-комнатная квартира,150 000 〒,76 м²,Бухар Жырау 62,Бостандыкский р-н
almaty,1-комнатная квартира,200 000 〒,53 м²,Гагарина проспект 124 — Абая,Бостандыкский р-н
almaty,1-комнатная квартира,55 000 〒,30 м²,Чаплина 20 — Сырдарьинская,Медеуский р-н
almaty,2-комнатная квартира,220 000 〒,60 м²,Навои Шахристан 208,Бостандыкский р-н
almaty,1-комнатная квартира,160 000 〒,40 м²,Сатпаева 90/43 — Тлендиева,Бостандыкский р-н
almaty,2-комнатная квартира,190 000 〒,60 м²,Жибек Жолы 81 — Панфилова,Алмалинский р-н
almaty,1-комнатная квартира,135 000 〒,33 м²,мкр Коктем-1 6,Бостандыкский р-н
almaty,1-комнатная квартира,120 000 〒,35 м²,Абая 127 — Жарокова,Алмалинский р-н
almaty,4-комнатная квартира,900 000 〒,180 м²,Ходжанова,Бостандыкский р-н
almaty,2-комнатная квартира,250 000 〒,65 м²,Толе Би — Наурызбай Батыра,Алмалинский р-н
almaty,5-комнатная квартира,1 200 000 〒,260 м²,Мкр «Мирас»,Бостандыкский р-н
almaty,3-комнатная квартира,500 000 〒,100 м²,мкр Горный Гигант 92 — Затаевич,Медеуский р-н
almaty,2-комнатная квартира,225 000 〒,60 м²,Навои 208,Бостандыкский р-н
almaty,1-комнатная квартира,160 000 〒,57 м²,мкр Жетысу-1 51а — Момыш улы,Ауэзовский р-н
almaty,3-комнатная квартира,380 000 〒,180 м²,Луганского — Сатпаева,Медеуский р-н
almaty,3-комнатная квартира,230 000 〒,73 м²,мкр Самал-1 32 — Жолдасбекова,Медеуский р-н
almaty,2-комнатная квартира,470 000 〒,110 м² помесячно,Аль-Фараби 21,Бостандыкский р-н
almaty,2-комнатная квартира,120 000 〒,47 м²,мкр Таугуль-1,Ауэзовский р-н
almaty,2-комнатная квартира,435 000 〒,85 м²,Аль-Фараби 21,Бостандыкский р-н
almaty,1-комнатная квартира,150 000 〒,30 м²,мкр Маяк,Турксибский р-н
almaty,3-комнатная квартира,210 000 〒,72 м²,Богенбай Батыра 75 — Калдаякова,Медеуский р-н
almaty,2-комнатная квартира,70 000 〒,100 м²,Оспанова,Медеуский р-н
almaty,2-комнатная квартира,95 000 〒,55 м²,мкр Кайрат,Турксибский р-н
almaty,2-комнатная квартира,160 000 〒,75 м²,Навои — Жандосова,Бостандыкский р-н
almaty,2-комнатная квартира,95 000 〒,44 м²,мкр Тастак-1,Ауэзовский р-н
almaty,3-комнатная квартира,500 000 〒,147.7 м²,проспект Назарбаева 301 — проспект Аль-Фараби,Медеуский р-н
almaty,3-комнатная квартира,550 000 〒,127 м²,Аль-Фараби 21 — Желтоксан,Бостандыкский р-н
almaty,1-комнатная квартира,99 999 〒,32 м²,мкр №7,Ауэзовский р-н
almaty,1-комнатная квартира,90 000 〒,33 м²,Сакена Сейфуллина 183А — Ниже Рыскулова,Турксибский р-н
almaty,1-комнатная квартира,170 000 〒,30 м²,Шевченко 85 — проспект Сакена Сейфуллина,Алмалинский р-н
almaty,2-комнатная квартира,250 000 〒,50 м²,проспект Достык 114 — Сатпаева,Медеуский р-н
almaty,3-комнатная квартира,400 000 〒,105 м²,Мусрепова 22 — Сатпаева,Бостандыкский р-н
almaty,2-комнатная квартира,140 000 〒,52 м²,проспект Достык 89/1 — Джолдасбекова,Медеуский р-н
almaty,2-комнатная квартира,100 000 〒,93 м²,мкр Шугыла,Наурызбайский р-н
almaty,1-комнатная квартира,190 000 〒,50 м²,Жарокова 137блокВ2 — Мынбаева,Бостандыкский р-н
almaty,4-комнатная квартира,1 500 000 〒,187 м² помесячно,Аль-Фараби 21,null
almaty,2-комнатная квартира,110 000 〒,45 м²,мкр Казахфильм 8 — Аль Фараби,Бостандыкский р-н
almaty,2-комнатная квартира,140 000 〒,60 м²,мкр Аксай-5,Ауэзовский р-н
almaty,3-комнатная квартира,170 000 〒,80 м²,мкр Шугыла,Наурызбайский р-н
almaty,1-комнатная квартира,65 000 〒,20 м² помесячно,Щорса 38,null
almaty,1-комнатная квартира,95 000 〒,42 м²,мкр Аксай-4,Ауэзовский р-н
almaty,3-комнатная квартира,400 000 〒,140 м²,мкр Самал-2,Медеуский р-н
almaty,2-комнатная квартира,120 000 〒,56 м²,мкр Жетысу-4 5 — Момыш Улы -Абая,Ауэзовский р-н
almaty,3-комнатная квартира,350 000 〒,120 м²,Мендикулова 105,Медеуский р-н
almaty,1-комнатная квартира,195 000 〒,40 м²,Желтоксан 137 — Шевченко,Алмалинский р-н
almaty,3-комнатная квартира,390 000 〒,120 м²,Бухар жырау — Хамита Ергали,Бостандыкский р-н
almaty,1-комнатная квартира,120 000 〒,34 м²,улица Тлендиева 231 — Сатпаева,Бостандыкский р-н
almaty,1-комнатная квартира,90 000 〒,39.5 м²,мкр Зердели (Алгабас-6) 1/171 — Момышулы,Алатауский р-н
